FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (white),YPLL Rate (white) 95% CI - Low,YPLL Rate (white) 95% CI - High,YPLL Rate (white) Unreliable,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (white),% LBW (white) 95% CI - Low,% LBW (white) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (white),Teen Birth Rate (white) 95% CI - Low,Teen Birth Rate (white) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (white),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (white),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (white),# Completed High School,Population,% Completed High School,95% CI - Low,95% CI - High,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (white),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (white),Injury Death Rate (white) 95% CI - Low,Injury Death Rate (white) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (white),% Drive Alone (white) 95% CI - Low,% Drive Alone (white) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
21001,Kentucky,Adair,,345,10424,8635,12212,-0.21,,,,,,,,,,,,,,,,,,,,,27,23,30,0.36,5.6,5.2,6.0,0.28,5.8,5.4,6.2,0.31,,9,7,10,-0.22,,,,,,,26,12,40,,,,8,7,10,29,25,32,0.55,39,37,40,-0.01,7.2,-0.11,39,36,43,0.77,46,0.15,14,13,15,-0.79,5,20,25,13,38,0.00,50,260.4,-0.31,21,17,25,-1.43,,,,,,,,,,,,,,,,1213,9,7,10,0.33,7,36,2743:1,0.26,3,15,6518:1,0.87,45,230,435:1,-0.15,4795,-0.41,,,,,,40,-0.39,,,45,,40,29,1.26,,,23,,29,10862,13093,83,80,86,0.05,2118,4367,49,40,57,0.45,501,6961,7.2,0.05,33,21,46,1.07,,,,32,25,80635,16482,4.9,-0.12,512,3681,14,8,20,-1.64,8,4.2,1.06,8,40,-0.74,89,92,74,113,-0.66,,,,,,,,,,,,,,,,8.4,-0.32,No,-0.46,12,9,15,8,6,11,3,1,5,1,0,2,-0.53,84,79,88,0.37,,,,,,,,,,,,,,,,7496,33,27,39,-0.36
21003,Kentucky,Allen,,410,10248,8693,11802,-0.28,,,,,,,,,,,,,,,,,,,,,25,22,28,-0.10,5.4,5.0,5.7,-0.08,5.7,5.3,6.0,0.02,,10,9,12,1.31,,,,,,,,,,,,,,,,27,24,31,0.16,38,36,40,-0.27,7.0,0.13,36,33,40,0.06,23,1.05,15,14,16,0.00,11,29,38,28,47,1.04,51,239.3,-0.43,29,24,35,-0.64,,,,,,,,,,,,,,,,1454,8,7,10,0.27,3,14,7105:1,1.14,5,23,4261:1,0.56,13,61,1639:1,0.39,4880,-0.37,,,,,,36,0.18,,,,,,41,0.02,,,33,,41,12083,14469,84,80,87,-0.04,2771,5083,55,45,64,-0.12,476,8732,5.5,-1.02,23,14,32,-0.15,,,,9,30,84274,19123,4.4,-0.68,1333,4960,27,17,37,0.32,10,4.7,0.95,21,102,0.08,119,113,93,133,0.22,,,,,,,,,,,,,,,,8.3,-0.47,No,-0.46,13,10,15,9,7,12,2,1,4,2,1,3,-0.12,77,73,81,-1.28,,,,,,,,,,,,,,,,8666,43,36,50,0.51
21005,Kentucky,Anderson,,371,9580,8081,11078,-0.53,,,,,,,,,,,,,,,,,,,,,21,18,24,-1.13,4.8,4.5,5.1,-0.97,5.3,5.0,5.6,-0.78,,8,7,9,-0.86,,,,,,,,,,,,,,,,23,20,26,-1.06,38,36,39,-0.44,8.0,-1.03,31,28,34,-1.20,65,-0.63,17,16,18,1.08,6,19,32,19,44,0.53,84,369.3,0.34,32,27,37,-0.41,,,,,,,,,,,,,,,,1271,7,6,8,-1.19,6,26,3791:1,0.66,11,48,2076:1,-0.37,16,70,1427:1,0.36,4913,-0.35,,,,,,37,0.04,,,50,,37,45,-0.39,,,48,,45,14051,15532,90,89,92,-1.16,3423,5441,63,53,73,-0.91,718,11752,6.1,-0.62,13,8,18,-1.34,,,,33,18,102333,25134,4.1,-1.06,1150,5358,21,14,29,-0.50,21,9.2,-0.01,20,89,-0.10,125,111,91,130,0.12,,,,,,,,,,,,,,,,9.0,0.54,No,-0.46,11,8,14,10,7,13,2,1,3,1,0,1,-0.71,84,80,87,0.39,,,,,,,,,,,,,,,,10325,46,39,52,0.70
21007,Kentucky,Ballard,,144,8181,5735,10626,-1.05,,,,,,,,,,,,,,,,,,,,,23,20,26,-0.61,5.2,4.8,5.5,-0.40,5.5,5.2,5.9,-0.28,,8,6,10,-0.59,,,,,,,,,,,,,,,,25,21,29,-0.50,40,38,42,0.55,8.2,-1.27,33,30,36,-0.82,30,0.77,16,15,17,0.76,4,16,25,12,39,0.00,24,304.3,-0.05,36,28,47,0.00,,,,,,,,,,,,,,,,438,7,6,8,-0.74,,,,0.00,2,26,3885:1,0.48,1,13,7769:1,0.54,6276,0.35,,,,,,47,-1.38,,,,,,53,-1.22,,,22,,53,4971,5615,89,85,92,-0.85,1026,1721,60,47,72,-0.60,222,3356,6.6,-0.31,22,14,31,-0.23,,,57,,27,98857,20964,4.7,-0.32,384,1658,23,13,33,-0.24,12,15.2,-1.26,6,66,-0.39,41,103,74,140,-0.19,,,,,,,,,,,,,,,,9.3,0.97,No,-0.46,10,6,13,8,5,12,1,0,3,1,0,2,-1.27,92,89,95,2.51,,,,,,,,,,,,,,,,3149,24,18,30,-1.08
21009,Kentucky,Barren,,805,8953,7982,9924,-0.76,,,,,,,,,13714,8958,20094,,,,,,8799,7783,9814,,26,23,29,0.15,5.6,5.2,5.9,0.32,5.8,5.5,6.1,0.28,,8,7,9,-0.70,,,,,,,13,7,19,6,3,9,8,7,9,28,24,32,0.39,38,37,40,-0.10,6.6,0.59,38,34,41,0.44,51,-0.06,14,14,15,-0.70,8,42,19,11,28,-0.48,166,375.1,0.37,39,35,43,0.22,,,,,,,29,15,49,50,30,78,39,35,43,2866,8,7,9,-0.06,35,79,1264:1,-1.41,15,34,2953:1,0.17,72,163,615:1,0.06,4920,-0.35,,,10578,,4765,40,-0.39,,,54,,40,49,-0.80,,,36,26,49,25164,30068,84,82,86,-0.07,5140,10439,49,43,55,0.38,1366,18195,7.5,0.24,25,17,33,0.10,,,30,65,38,78271,17799,4.4,-0.69,2946,10375,28,23,34,0.55,32,7.2,0.41,54,124,0.37,201,91,79,104,-0.69,,,,,,,,,,,,,,,,8.6,-0.04,No,-0.46,16,14,19,14,11,16,3,1,4,2,1,3,1.34,81,78,83,-0.42,,,,,,,,,,,,,,,,17785,26,22,29,-0.96
21011,Kentucky,Bath,,270,13512,11080,15945,0.95,,,,,,,,,,,,,,,,,,,,,26,22,30,0.15,5.5,5.1,5.9,0.20,5.8,5.4,6.2,0.37,,9,7,10,-0.12,,,,,,,,,,,,,,,,28,24,32,0.36,38,36,39,-0.36,7.2,-0.11,37,34,41,0.34,39,0.42,15,14,16,-0.30,6,11,55,40,66,2.37,25,200.0,-0.67,42,34,50,0.52,,,,,,,,,,,,,,,,885,9,7,10,0.45,1,8,12500:1,1.37,1,8,12481:1,1.15,37,296,337:1,-0.37,5619,0.01,,,,,,36,0.18,,,,,,39,0.23,,,25,,39,6574,8288,79,76,83,0.63,1141,2813,41,32,50,1.20,379,4561,8.3,0.74,33,22,45,1.07,,,59,5,31,86752,17811,4.9,-0.14,966,3147,31,20,42,0.90,5,4.0,1.09,4,29,-0.88,71,114,89,144,0.28,,,,,,,,,,,,,,,,8.4,-0.32,No,-0.46,12,8,15,9,6,12,1,0,2,2,1,4,-0.57,79,75,84,-0.71,,,,,,,,,,,,,,,,4553,42,33,51,0.40
21013,Kentucky,Bell,,740,15155,13461,16849,1.56,,,,,,,,,,,,,,,,,,,,,33,30,38,2.09,6.7,6.3,7.2,2.13,6.5,6.2,6.9,2.04,,10,9,11,1.10,,,,,,,25,14,37,,,,10,9,11,34,30,38,1.97,42,40,44,1.46,5.0,2.45,44,40,48,2.00,85,-1.40,13,12,14,-1.73,4,32,13,5,23,-1.01,57,219.0,-0.55,53,46,59,1.52,,,,,,,,,,,,,,,,1765,9,7,10,0.66,13,50,2002:1,-0.27,15,59,1699:1,-0.78,8,31,3185:1,0.48,5758,0.08,,,1841,,5722,25,1.74,,,35,,25,34,0.74,,,26,,35,13823,18692,74,71,77,1.50,2633,6420,41,35,47,1.15,642,8248,7.8,0.41,38,24,53,1.66,,,,73,37,61508,11913,5.2,0.20,1516,5566,27,20,34,0.38,27,10.4,-0.25,47,170,0.97,168,127,108,146,0.81,,,,,,,,,,,,,,,,7.6,-1.48,Yes,2.16,18,15,21,16,13,19,2,0,3,1,0,1,1.95,79,76,82,-0.87,,,,,,,,,,,,,,,,7219,37,30,43,-0.03
21015,Kentucky,Boone,,1528,6763,6268,7259,-1.58,,,,,,,,,7578,5149,10756,,,,,,6907,6372,7441,,17,14,19,-2.22,4.1,3.8,4.4,-2.14,4.7,4.4,5.0,-2.21,,7,7,8,-1.39,,,,7,5,9,11,9,14,7,5,9,7,6,7,18,15,21,-2.39,33,31,34,-2.61,8.3,-1.38,27,24,30,-2.33,85,-1.39,19,19,20,2.93,25,71,35,29,41,0.82,434,324.9,0.08,17,15,18,-1.80,,,,,,,17,10,26,41,32,53,16,14,17,6474,6,5,6,-2.07,84,63,1590:1,-0.77,89,66,1521:1,-1.04,162,120,836:1,0.20,4828,-0.40,,,4163,3494,4778,48,-1.52,,51,50,39,48,56,-1.53,,57,41,46,56,81491,86983,94,93,95,-1.68,24806,34258,72,68,77,-1.80,3791,70071,5.4,-1.05,8,5,11,-1.94,,16,30,38,6,140005,37121,3.8,-1.41,7070,34640,20,17,24,-0.65,79,5.9,0.69,169,132,0.48,486,74,67,80,-1.42,,,,,,,50,27,86,35,17,64,78,71,85,10.1,2.12,No,-0.46,11,9,12,9,8,11,1,1,2,0,0,1,-0.97,82,81,84,0.05,,,,73,60,85,67,61,73,75,67,84,83,82,85,66077,32,30,35,-0.39
21017,Kentucky,Bourbon,,380,10974,9282,12666,-0.01,,,,,,,,,,,,,,,,,,,,,24,21,27,-0.36,5.1,4.8,5.5,-0.47,5.4,5.1,5.7,-0.62,,8,7,10,-0.44,,,,,,,15,7,24,,,,8,7,10,25,22,28,-0.50,38,36,40,-0.31,7.0,0.13,35,32,38,-0.24,61,-0.44,16,15,17,0.41,11,34,32,23,41,0.59,69,348.7,0.22,27,22,32,-0.91,,,,,,,,,,,,,,,,1465,9,8,11,1.03,16,81,1237:1,-1.47,13,65,1531:1,-1.02,26,131,765:1,0.16,5239,-0.18,,,,,,43,-0.81,,,47,,43,53,-1.22,,,50,38,54,11828,13823,86,83,88,-0.37,2499,4519,55,46,64,-0.19,561,9577,5.9,-0.77,22,13,30,-0.33,,,,22,16,103265,22671,4.6,-0.50,1153,4492,26,19,32,0.14,20,10.1,-0.19,26,127,0.41,106,106,86,126,-0.07,,,,,,,,,,,,,,,,8.9,0.39,Yes,2.16,12,10,15,11,8,13,2,1,2,0,0,1,-0.27,80,78,83,-0.47,,,,,,,,,,,,,,,,9150,36,31,42,-0.06
21019,Kentucky,Boyd,,1038,11203,10167,12239,0.08,,,,,,,,,,,,,,,,,,,,,23,20,26,-0.59,5.0,4.7,5.4,-0.60,5.4,5.1,5.8,-0.58,,10,9,11,0.87,,,,,,,29,18,41,,,,10,9,11,25,21,28,-0.50,43,41,44,1.68,6.3,0.94,34,31,38,-0.42,62,-0.51,15,14,16,-0.13,8,23,35,24,46,0.78,111,237.6,-0.44,36,32,40,-0.06,,,,,,,,,,,,,,,,2519,7,6,8,-0.87,51,109,916:1,-2.58,33,71,1410:1,-1.24,362,778,128:1,-1.90,6017,0.22,,,8656,,6000,39,-0.24,,,,,,51,-1.01,,,34,,51,29866,33923,88,86,90,-0.77,7335,11603,63,57,69,-0.94,1465,17551,8.3,0.76,22,13,31,-0.29,,,33,21,21,95864,20283,4.7,-0.31,2684,10049,27,21,33,0.30,80,17.1,-1.66,73,150,0.71,286,121,107,135,0.55,,,,,,,,,,,,,,,,7.9,-1.04,No,-0.46,12,11,14,12,10,14,1,0,1,0,0,1,-0.20,84,83,86,0.59,,,,,,,,,,,,,,,,17844,26,22,30,-0.92
